333	;	701	;	39	;	537	;	807
741	;	594	;	17	;	61	;	584
411	;	175	;	149	;	15	;	563
1024	;	429	;	322	;	122	;	528
284	;	222	;	26	;	177	;	524
325	;	842	;	584	;	308	;	479
88	;	1188	;	32	;	235	;	445
1250	;	486	;	1060	;	2292	;	437
289	;	174	;	61	;	217	;	410
472	;	391	;	49	;	46	;	400
186	;	718	;	78	;	281	;	365
217	;	403	;	4	;	36	;	360
967	;	342	;	65	;	59	;	357
120	;	322	;	1	;	0	;	357
149	;	152	;	49	;	202	;	355
152	;	85	;	32	;	248	;	342
327	;	318	;	746	;	159	;	316
192	;	641	;	30	;	107	;	308
148	;	122	;	223	;	202	;	298
614	;	765	;	283	;	117	;	293
226	;	212	;	6	;	4	;	293
436	;	241	;	32	;	1781	;	291
462	;	316	;	158	;	405	;	290
143	;	168	;	86	;	214	;	284
83	;	38	;	18	;	356	;	278
263	;	223	;	21	;	154	;	276
387	;	623	;	311	;	218	;	271
377	;	295	;	25	;	142	;	271
170	;	400	;	15	;	404	;	261
413	;	346	;	114	;	72	;	247
230	;	21	;	9	;	267	;	245
258	;	88	;	9	;	391	;	241
165	;	257	;	29	;	43	;	239
195	;	222	;	20	;	959	;	230
189	;	187	;	37	;	318	;	230
944	;	305	;	179	;	151	;	230
516	;	619	;	199	;	2198	;	229
125	;	618	;	10	;	686	;	228
487	;	287	;	19	;	61	;	226
366	;	963	;	165	;	1249	;	223
94	;	229	;	203	;	0	;	223
176	;	377	;	6	;	21	;	222
1124	;	194	;	317	;	245	;	221
113	;	212	;	166	;	38	;	221
204	;	267	;	48	;	123	;	220
72	;	266	;	40	;	0	;	220
194	;	230	;	92	;	885	;	216
661	;	496	;	105	;	1386	;	213
552	;	601	;	29	;	603	;	210
150	;	319	;	41	;	150	;	209
295	;	305	;	246	;	176	;	205
181	;	495	;	35	;	368	;	204
334	;	549	;	130	;	2955	;	203
451	;	450	;	9	;	19	;	201
473	;	414	;	23	;	326	;	198
84	;	62	;	45	;	56	;	195
259	;	117	;	183	;	114	;	188
84	;	205	;	145	;	315	;	186
114	;	210	;	8	;	0	;	185
452	;	326	;	6	;	174	;	183
398	;	417	;	18	;	306	;	182
538	;	357	;	99	;	206	;	181
210	;	269	;	24	;	29	;	177
292	;	699	;	6	;	26	;	176
116	;	177	;	11	;	0	;	176
406	;	1059	;	17	;	939	;	174
179	;	398	;	21	;	25	;	173
250	;	135	;	17	;	11	;	172
66	;	405	;	99	;	95	;	171
103	;	120	;	14	;	22	;	170
114	;	75	;	1	;	105	;	166
189	;	201	;	47	;	35	;	166
107	;	269	;	9	;	94	;	165
247	;	444	;	103	;	7	;	165
612	;	328	;	125	;	45	;	164
444	;	615	;	734	;	55	;	162
478	;	756	;	26	;	321	;	161
139	;	96	;	60	;	53	;	161
66	;	198	;	8	;	16	;	161
132	;	112	;	3	;	2090	;	160
291	;	733	;	199	;	683	;	160
264	;	308	;	44	;	515	;	160
452	;	143	;	33	;	1	;	156
58	;	143	;	193	;	377	;	153
257	;	379	;	140	;	137	;	151
232	;	293	;	26	;	347	;	150
226	;	66	;	87	;	34	;	149
303	;	408	;	7	;	59	;	146
286	;	364	;	16	;	14	;	146
95	;	182	;	4	;	307	;	143
342	;	122	;	1099	;	136	;	143
221	;	180	;	51	;	35	;	143
290	;	470	;	104	;	13	;	143
117	;	19	;	1	;	4	;	143
112	;	109	;	7	;	0	;	143
180	;	164	;	46	;	28	;	142
135	;	358	;	12	;	45	;	141
174	;	278	;	16	;	305	;	138
89	;	330	;	94	;	3668	;	132
263	;	114	;	101	;	18	;	132
208	;	249	;	79	;	47	;	131
246	;	167	;	8	;	44	;	131
589	;	305	;	28	;	379	;	130
213	;	300	;	112	;	31	;	130
161	;	344	;	2	;	8	;	130
588	;	288	;	29	;	63	;	129
236	;	236	;	9	;	379	;	126
250	;	433	;	17	;	32	;	126
106	;	112	;	15	;	0	;	126
398	;	714	;	44	;	183	;	125
142	;	441	;	354	;	89	;	125
247	;	247	;	10	;	30	;	124
162	;	0	;	3	;	0	;	124
336	;	536	;	103	;	275	;	122
158	;	123	;	28	;	15	;	122
130	;	161	;	6	;	5	;	122
197	;	4	;	33	;	709	;	120
658	;	353	;	57	;	395	;	119
385	;	374	;	30	;	97	;	119
546	;	897	;	334	;	386	;	118
137	;	217	;	96	;	308	;	118
169	;	156	;	19	;	27	;	118
240	;	218	;	32	;	15	;	118
500	;	362	;	63	;	568	;	116
178	;	500	;	37	;	22	;	116
237	;	198	;	15	;	8	;	114
121	;	214	;	12	;	61	;	113
494	;	325	;	41	;	6	;	112
124	;	258	;	36	;	16	;	111
111	;	141	;	16	;	349	;	110
131	;	73	;	92	;	17	;	110
224	;	232	;	5	;	2	;	110
92	;	449	;	354	;	132	;	109
187	;	275	;	44	;	226	;	108
296	;	309	;	17	;	114	;	108
407	;	124	;	18	;	23	;	108
130	;	1527	;	359	;	254	;	107
637	;	846	;	16	;	41	;	105
54	;	58	;	35	;	9	;	105
116	;	82	;	6	;	0	;	105
371	;	636	;	23	;	365	;	104
76	;	179	;	4	;	133	;	104
120	;	18	;	9	;	15	;	104
203	;	357	;	24	;	8	;	104
223	;	225	;	37	;	67	;	103
561	;	238	;	33	;	27	;	103
52	;	94	;	7	;	1	;	103
121	;	512	;	1143	;	784	;	101
43	;	144	;	22	;	58	;	101
593	;	238	;	83	;	75	;	100
200	;	210	;	12	;	91	;	98
97	;	598	;	97	;	590	;	97
176	;	402	;	44	;	70	;	97
198	;	228	;	41	;	646	;	95
145	;	252	;	2	;	107	;	95
555	;	367	;	18	;	86	;	93
417	;	371	;	123	;	43	;	93
